sku,inventory_units_on_hand,reorder_point,units_below_reorder_point,daily_demand,lead_time_days,safety_stock,on_hand_stock_value
56722.42673,925539,1583563.27,658024.27,9292.96,130,375478.47,4876665.14
87484.99284,188038,652937.33,464899.33,7575.60,76,77191.73,982692.53
64992.5687,181895,511312.34,329417.34,6617.89,66,74531.38,1395586.72
36272.20584,63816,360340.12,296524.12,16850.97,21,6469.68,334335.46
59649.09941,74857,325446.10,250589.10,8866.20,35,15129.10,544249.78
45558.36564,72748,313815.62,241067.62,4040.67,66,47131.62,538973.39
12618.77005,47774,251121.41,203347.41,1257.17,181,23574.25,303071.34
87631.39657,32358,212034.05,179676.05,1624.83,123,12179.55,227620.06
61431.51228,76673,239063.86,162390.86,5774.64,35,36951.46,490624.03
77066.7326,193618,347223.16,153605.16,3691.38,76,66678.28,1129564.97
54259.55534,58056,193761.85,135705.85,7806.00,23,14223.85,392523.44
34319.52555,25872,150194.98,124322.98,2073.50,66,13343.98,191911.53
20770.25794,65613,172886.81,107273.81,1905.90,87,7073.51,461006.60
14804.73021,26631,121024.53,94393.53,1680.12,66,10136.61,206020.76
79974.57181,21221,107579.46,86358.46,1077.17,90,10634.46,108400.39
28852.23678,42867,129205.85,86338.85,1396.12,66,37061.93,321458.09
97858.21251,53387,138605.65,85218.65,1696.80,66,26616.85,395535.77
43989.70312,20537,94732.55,74195.55,1354.83,61,12087.72,228825.15
70313.2463,32245,102408.71,70163.71,2063.40,44,11619.11,230548.22
27746.72473,49484,118053.11,68569.11,1248.48,66,35653.43,371074.93
67194.73671,44670,111751.75,67081.75,994.84,94,18236.79,273744.65
61763.28744,26013,90963.91,64950.91,986.48,76,15991.43,137466.63
17406.29569,14511,77872.25,63361.25,1034.83,66,9573.25,107509.62
93540.85184,46993,103501.39,56508.39,1611.63,46,29366.56,388702.10
95551.89527,123730,177858.31,54128.31,2209.97,66,32000.07,927844.54
18382.47986,39924,92927.07,53003.07,4601.99,16,19295.29,299388.12
66249.98903,18765,68370.61,49605.61,461.50,108,18528.61,345098.96
92199.42146,24874,72983.40,48109.40,444.84,130,15154.20,315697.37
28358.53042,14998,63056.19,48058.19,2193.50,23,12605.69,107730.57
14950.11098,17399,64460.29,47061.29,2458.08,23,7924.45,142536.03
57292.27939,14867,60729.61,45862.61,1149.12,44,10168.33,387081.09
21691.1655,41024,84691.77,43667.77,2960.56,23,16598.89,310793.66
14290.54489,16293,59193.49,42900.49,1280.00,37,11833.49,97913.40
74844.42322,33888,74920.38,41032.38,940.32,66,12859.26,254735.82
54058.36796,28116,66272.61,38156.61,1005.70,56,9953.41,150550.57
68753.34457,15547,53344.35,37797.35,619.70,78,5007.75,158137.11
91054.88135,11283,48170.18,36887.18,377.08,108,7445.54,117929.47
85525.70369,13658,49899.46,36241.46,2044.92,23,2866.30,80378.50
81689.65414,34008,69339.78,35331.78,705.88,76,15692.90,190999.41
97735.92745,25846,61132.85,35286.85,248.43,181,16167.63,262331.48
18043.66253,18811,54056.70,35245.70,1323.84,37,5074.62,140529.15
26570.05479,14614,48028.58,33414.58,1731.20,26,3017.38,110715.50
26976.03739,7807,39876.62,32069.62,925.47,37,5634.35,107616.23
16008.34214,9519,39721.46,30202.46,1484.41,21,8548.78,225666.09
747.6157018,6576,36565.21,29989.21,332.17,102,2684.21,34245.97
99691.56817,8809,37480.46,28671.46,1990.71,16,5629.15,62109.29
9797.236123,21188,49609.65,28421.65,518.04,66,15419.01,158884.64
86403.55774,31711,60000.92,28289.92,691.36,65,15062.52,345335.55
40555.53967,36846,63744.80,26898.80,710.40,66,16858.40,276302.79
3527.394088,9874,36753.70,26879.70,345.67,80,9100.36,70923.29
42375.4568,16941,42670.27,25729.27,467.16,66,11837.71,127037.57
59614.48888,20776,46452.86,25676.86,413.10,87,10513.16,198444.79
53498.3392,17024,40666.71,23642.71,333.50,100,7316.71,89424.60
40586.17221,6510,29967.16,23457.16,1113.00,23,4368.16,89260.97
73719.85221,22061,44838.32,22777.32,460.48,66,14446.64,165434.08
