sku,standard_price,inventory_units_on_hand,on_hand_stock_value,percentage_of_total_inventory_value
56722.42673,5.00,925539,4876665.14,10.5996
64992.5687,8.00,181895,1395586.72,3.0333
77066.7326,6.00,193618,1129564.97,2.4551
87484.99284,5.00,188038,982692.53,2.1359
95551.89527,7.00,123730,927844.54,2.0167
76235.86954,122.00,4711,575271.59,1.2504
59649.09941,7.00,74857,544249.78,1.1829
45558.36564,7.00,72748,538973.39,1.1715
61431.51228,6.00,76673,490624.03,1.0664
2546.974632,138.00,3393,468770.26,1.0189
20770.25794,7.00,65613,461006.60,1.0020
89009.13269,244.00,1635,399711.80,0.8688
97858.21251,7.00,53387,395535.77,0.8597
54259.55534,7.00,58056,392523.44,0.8532
93540.85184,8.00,46993,388702.10,0.8449
57292.27939,26.00,14867,387081.09,0.8413
27746.72473,7.00,49484,371074.93,0.8065
86403.55774,11.00,31711,345335.55,0.7506
66249.98903,18.00,18765,345098.96,0.7501
12389.93222,138.00,2430,335783.93,0.7298
