sku,on_hand_stock_value,percentage_of_total_value,cumulative_percentage_of_value
56722.42673,4876665.14,10.5996,10.60
64992.5687,1395586.72,3.0333,13.63
77066.7326,1129564.97,2.4551,16.09
87484.99284,982692.53,2.1359,18.22
95551.89527,927844.54,2.0167,20.24
76235.86954,575271.59,1.2504,21.49
59649.09941,544249.78,1.1829,22.67
45558.36564,538973.39,1.1715,23.85
61431.51228,490624.03,1.0664,24.91
2546.974632,468770.26,1.0189,25.93
20770.25794,461006.60,1.0020,26.93
89009.13269,399711.80,0.8688,27.80
97858.21251,395535.77,0.8597,28.66
54259.55534,392523.44,0.8532,29.51
93540.85184,388702.10,0.8449,30.36
57292.27939,387081.09,0.8413,31.20
27746.72473,371074.93,0.8065,32.01
86403.55774,345335.55,0.7506,32.76
66249.98903,345098.96,0.7501,33.51
12389.93222,335783.93,0.7298,34.24
36272.20584,334335.46,0.7267,34.96
28852.23678,321458.09,0.6987,35.66
92199.42146,315697.37,0.6862,36.35
21691.1655,310793.66,0.6755,37.02
13930.05334,304565.78,0.6620,37.69
12618.77005,303071.34,0.6587,38.35
18382.47986,299388.12,0.6507,39.00
40922.61774,297227.26,0.6460,39.64
17877.58278,294228.16,0.6395,40.28
92052.30979,288391.12,0.6268,40.91
68878.30081,284676.08,0.6188,41.53
40555.53967,276302.79,0.6006,42.13
67194.73671,273744.65,0.5950,42.72
97735.92745,262331.48,0.5702,43.29
74844.42322,254735.82,0.5537,43.85
75376.51236,242701.15,0.5275,44.37
70313.2463,230548.22,0.5011,44.88
43989.70312,228825.15,0.4974,45.37
87631.39657,227620.06,0.4947,45.87
16008.34214,225666.09,0.4905,46.36
31844.01405,212412.75,0.4617,46.82
4831.799117,206469.66,0.4488,47.27
14804.73021,206020.76,0.4478,47.72
62250.83184,201302.14,0.4375,48.15
59614.48888,198444.79,0.4313,48.58
11682.12204,195467.88,0.4249,49.01
34319.52555,191911.53,0.4171,49.43
81689.65414,190999.41,0.4151,49.84
99848.49526,180016.95,0.3913,50.23
91487.04292,177154.27,0.3850,50.62
9752.603397,176954.95,0.3846,51.00
68922.10638,172682.48,0.3753,51.38
22511.99721,167861.13,0.3649,51.74
73719.85221,165434.08,0.3596,52.10
37118.06545,164863.15,0.3583,52.46
46174.19704,160463.20,0.3488,52.81
85781.62452,160101.66,0.3480,53.16
9797.236123,158884.64,0.3453,53.50
68753.34457,158137.11,0.3437,53.85
37405.54347,151412.46,0.3291,54.18
28535.78795,150567.98,0.3273,54.50
54058.36796,150550.57,0.3272,54.83
35617.26411,149293.10,0.3245,55.15
56095.15083,146603.73,0.3186,55.47
68621.70154,145614.90,0.3165,55.79
14950.11098,142536.03,0.3098,56.10
18043.66253,140529.15,0.3054,56.41
23279.88664,140154.28,0.3046,56.71
99935.29323,138687.89,0.3014,57.01
61763.28744,137466.63,0.2988,57.31
17724.92674,136785.83,0.2973,57.61
46753.79928,134153.60,0.2916,57.90
57821.70364,133868.67,0.2910,58.19
61716.77149,132267.47,0.2875,58.48
66898.45026,131594.09,0.2860,58.76
74569.65391,131154.06,0.2851,59.05
49404.04188,130444.90,0.2835,59.33
9089.83595,129909.92,0.2824,59.61
42375.4568,127037.57,0.2761,59.89
58344.90294,126469.37,0.2749,60.17
82550.86699,123750.20,0.2690,60.43
31398.63195,121482.63,0.2640,60.70
91054.88135,117929.47,0.2563,60.95
20353.36609,116998.48,0.2543,61.21
98395.41806,114227.80,0.2483,61.46
9755.440137,113320.11,0.2463,61.70
18214.79285,112380.56,0.2443,61.95
51157.75623,112237.43,0.2440,62.19
42076.92509,111239.64,0.2418,62.43
55243.20891,110940.24,0.2411,62.67
26570.05479,110715.50,0.2406,62.92
