sku,inventory_units_on_hand,projected_average_monthly_demand,months_of_inventory_coverage,on_hand_stock_value,annual_demand
23640.38365,9223,6.00,1537.17,62000.00,72.00
839.7189575,6013,15.60,385.45,32500.00,187.20
18049.7595,618,4.00,154.50,4200.00,48.00
19153.67476,1986,13.60,146.03,12800.00,163.20
79307.86942,827,6.00,137.83,24000.00,72.00
28494.96096,521,4.00,130.25,12240.00,48.00
66981.88731,461,4.00,115.25,4500.00,48.00
39145.01238,8009,78.00,102.68,64000.00,936.00
54570.82291,301,4.00,75.25,2450.00,48.00
12171.83778,1188,16.80,70.71,6180.00,201.60
27891.95579,497,7.20,69.03,3700.00,86.40
79836.62189,1706,25.00,68.24,11000.00,300.00
43587.35979,731,10.80,67.69,11700.00,129.60
42003.69568,234,4.00,58.50,1250.00,48.00
48429.39229,639,13.60,46.99,3800.00,163.20
90062.38329,466,10.20,45.69,3900.00,122.40
45576.33015,238,6.00,39.67,3870.00,72.00
45570.45261,94,3.00,31.33,600.00,36.00
80260.11575,235,7.80,30.13,3900.00,93.60
67684.2708,1241,51.00,24.33,6415.65,612.00
46403.87373,1664,73.20,22.73,18597.08,878.40
11682.12204,24168,1064.00,22.71,195467.88,12768.00
37485.47982,419,22.00,19.05,22000.00,264.00
83164.98886,8106,483.00,16.78,60934.16,5796.00
16739.76417,2908,177.60,16.37,72221.02,2131.20
35265.16222,220,13.60,16.18,79471.23,163.20
45569.93306,97,6.00,16.17,1500.00,72.00
43887.9304,13155,858.60,15.32,89048.40,10303.20
87416.0724,89,6.00,14.83,680.00,72.00
64784.44354,43,3.00,14.33,350.00,36.00
81307.76995,86,6.00,14.33,17123.32,72.00
88361.49157,73,6.00,12.17,1490.00,72.00
36463.56278,5595,487.80,11.47,30759.16,5853.60
9037.732304,198,17.40,11.38,1042.30,208.80
51646.57145,43,4.00,10.75,888.55,48.00
29259.21007,126,12.00,10.50,22174.06,144.00
10035.77473,107,10.20,10.49,780.00,122.40
69313.07822,509,49.20,10.35,4627.27,590.40
27439.58354,2669,267.60,9.97,41059.48,3211.20
37919.04046,1027,111.00,9.25,25486.74,1332.00
68000.85251,525,58.80,8.93,12428.60,705.60
36030.96631,25,3.00,8.33,313.28,36.00
13930.05334,18244,2224.20,8.20,304565.78,26690.40
95171.92723,758,94.40,8.03,65348.64,1132.80
269.7596913,32,4.00,8.00,3675.57,48.00
16258.20829,56,7.20,7.78,3465.65,86.40
18379.25448,521,68.40,7.62,4026.80,820.80
53917.25094,649,85.20,7.62,5656.18,1022.40
99935.29323,5505,747.60,7.36,138687.89,8971.20
74724.52867,769,110.40,6.97,8632.69,1324.80
79438.78059,2111,303.60,6.95,16193.06,3643.20
18053.50511,1361,197.60,6.89,10286.20,2371.20
20959.07106,6797,994.80,6.83,50724.98,11937.60
83201.4349,2477,362.40,6.83,18484.80,4348.80
97104.28322,98,14.40,6.81,1624.72,172.80
37513.08385,3691,544.00,6.78,96099.69,6528.00
62208.77298,1135,170.40,6.66,34210.96,2044.80
49745.15509,428,64.80,6.60,12137.41,777.60
86111.20422,366,55.80,6.56,10704.69,669.60
23447.44641,131,20.40,6.42,1023.22,244.80
81909.30134,19,3.00,6.33,1026.11,36.00
3317.463521,1546,246.40,6.27,16595.76,2956.80
45694.2321,1198,194.40,6.16,36667.24,2332.80
48736.01396,152,25.20,6.03,3971.58,302.40
37961.20578,36,6.00,6.00,340.89,72.00
16052.87843,3311,553.20,5.99,18539.60,6638.40
66606.75227,17945,3007.20,5.97,110267.88,36086.40
40165.75809,699,117.60,5.94,6408.88,1411.20
84183.75319,6230,1048.20,5.94,73997.39,12578.40
67794.64548,2986,509.60,5.86,77743.50,6115.20
3404.017843,35,6.00,5.83,6596.54,72.00
84789.38357,45,7.80,5.77,1014.85,93.60
12363.61215,23,4.00,5.75,270.00,48.00
12538.86834,546,97.20,5.62,9426.59,1166.40
68922.10638,273,49.20,5.55,172682.48,590.40
32416.58346,43,7.80,5.51,1211.93,93.60
56852.69199,33,6.00,5.50,207.40,72.00
39840.7382,200,36.40,5.49,1644.42,436.80
91537.48339,205,39.00,5.26,1186.64,468.00
30213.94562,31,6.00,5.17,3385.44,72.00
77806.09006,203,40.00,5.08,1372.05,480.00
36242.58921,124,24.60,5.04,1031.92,295.20
58184.20734,998,199.20,5.01,8106.25,2390.40
11726.2985,40,8.00,5.00,226.50,96.00
41048.75817,78,15.60,5.00,2289.03,187.20
55912.04181,30,6.00,5.00,160.68,72.00
96830.56156,2737,548.40,4.99,71274.46,6580.80
2546.974632,3393,684.00,4.96,468770.26,8208.00
28528.7191,406,82.80,4.90,3435.30,993.60
77020.25661,2177,444.00,4.90,16240.00,5328.00
28562.10694,128,26.40,4.85,3766.72,316.80
38589.6678,130,27.00,4.81,16916.85,324.00
75297.9515,68,14.40,4.72,742.36,172.80
21779.73596,1494,319.20,4.68,38901.05,3830.40
13890.49711,14,3.00,4.67,183.94,36.00
1901.801636,665,143.40,4.64,12817.27,1720.80
29892.12735,13736,2972.00,4.62,102512.35,35664.00
92765.32588,3428,743.40,4.61,25582.49,8920.80
66550.65027,165,36.00,4.58,1129.92,432.00
97544.60351,1372,301.20,4.56,16310.41,3614.40
11233.80771,18,4.00,4.50,3903.82,48.00
1905.634856,368,82.80,4.44,9020.57,993.60
39582.74355,1603,365.00,4.39,14969.42,4380.00
18214.79285,15012,3429.60,4.38,112380.56,41155.20
49890.04676,230,52.80,4.36,6045.63,633.60
5507.884826,13,3.00,4.33,321.53,36.00
16996.04226,34,8.00,4.25,602.75,96.00
26561.54961,99,23.40,4.23,3029.87,280.80
