sku,inventory_units_on_hand,projected_average_monthly_demand,months_of_inventory_coverage,reorder_point,lead_time_days,on_hand_stock_value
15171.17002,0,12.00,0.00,0.88,2,11.24
20058.57596,0,12.00,0.00,0.44,1,45.03
20920.7648,0,12.00,0.00,1.40,3,17.65
21326.32163,0,22.00,0.00,2.49,3,8.14
38.49898826,0,45.00,0.00,3.29,2,129.93
41123.51408,0,22.00,0.00,2.41,3,6.01
41393.25239,0,6.00,0.00,0.22,1,41.01
7728.237731,0,15.00,0.00,1.10,2,15.03
90461.4167,0,16.00,0.00,1.17,2,40.48
26008.68048,4,268.40,0.01,19.64,2,24.58
39885.56665,43,3115.20,0.01,126.62,1,1485.68
50337.76968,10,730.40,0.01,53.44,2,113.14
67997.98926,12,1840.00,0.01,134.63,2,1366.10
83455.34766,1,67.20,0.01,4.92,2,103.97
12028.39964,1,54.40,0.02,3.98,2,24.84
23693.3684,2,92.40,0.02,9.80,3,75.53
30363.57703,1,45.00,0.02,9.88,6,21.75
43822.25836,27,1645.20,0.02,171.54,3,288.98
65825.06061,15,736.40,0.02,77.68,3,229.09
72009.44844,4,185.00,0.02,22.22,3,47.85
91970.25303,42,2116.40,0.02,180.65,2,2439.83
24401.95087,16,607.20,0.03,55.28,2,201.62
61494.19702,46,1424.00,0.03,118.65,2,738.73
97900.13584,7,279.00,0.03,29.43,3,64.22
4511.179675,4,104.40,0.04,12.98,3,85.04
50727.27312,12,326.40,0.04,50.68,4,2541.26
55930.93798,1,25.00,0.04,7.32,8,8.10
56878.11327,8,204.40,0.04,18.86,2,319.51
7595.552357,8,223.20,0.04,25.72,3,306.50
78354.19965,1,25.00,0.04,2.93,2,38.87
83101.39768,2,50.40,0.04,4.26,2,136.33
95932.29197,5,125.00,0.04,27.44,6,31.03
14719.85298,2,39.60,0.05,15.94,11,41.67
19058.81913,112,2365.00,0.05,738.28,8,1474.32
32256.65625,9,185.00,0.05,34.29,4,235.74
32462.07942,108,2385.00,0.05,1090.19,13,2365.59
34249.81368,1,20.40,0.05,2.18,3,168.71
36027.65259,93,1922.80,0.05,468.93,6,1574.48
36565.19569,2,39.00,0.05,8.56,6,26.04
45879.09284,5,92.80,0.05,14.86,4,43.03
48705.02696,1,20.40,0.05,1.49,2,6.61
50881.52299,1,20.40,0.05,1.58,2,174.25
50888.71464,1,21.60,0.05,4.74,6,17.18
57066.9144,725,14111.20,0.05,521.97,1,4533.63
68332.61741,4,81.00,0.05,6.78,2,34.41
69438.25951,1,22.00,0.05,2.71,3,47.87
76995.05268,1,22.00,0.05,3.22,4,3.86
80344.90305,8,148.80,0.05,16.69,3,91.26
87576.31826,117,2365.00,0.05,738.28,8,1162.82
93549.10259,4,74.80,0.05,13.56,4,412.26
95065.28913,8,176.40,0.05,28.97,4,224.96
98139.37454,3,57.20,0.05,25.11,12,168.84
10159.67823,1,18.00,0.06,2.24,3,27.94
12533.72729,6,92.40,0.06,16.05,3,456.29
16190.15576,9,145.00,0.06,79.57,15,339.69
19063.58305,1,18.00,0.06,3.95,6,6.70
2037.852636,24,409.20,0.06,99.80,6,1373.28
24189.22483,4,65.00,0.06,15.12,5,132.85
27165.81733,5,85.00,0.06,14.15,3,146.46
30410.16398,2,31.20,0.06,4.57,4,10.99
35673.96558,2,32.40,0.06,5.90,4,107.12
36569.78261,1,18.00,0.06,3.95,6,6.25
40362.31439,1,15.60,0.06,1.81,3,47.07
43160.03555,191,3097.60,0.06,676.15,6,1203.42
46174.19704,253,4032.00,0.06,3921.35,29,160463.20
464.3319328,1,15.60,0.06,2.85,5,63.27
52859.72379,1,18.00,0.06,3.29,5,6.37
5742.090902,1352,23514.00,0.06,9042.14,11,41129.99
62746.01188,4,65.00,0.06,11.06,3,53.69
63104.85832,61,1086.80,0.06,238.53,5,2221.10
691.0125995,1,16.00,0.06,2.34,4,4.05
69218.28128,1,16.20,0.06,1.40,2,117.54
70551.67392,295,4791.00,0.06,1788.82,11,3134.09
76756.87989,4,65.00,0.06,20.61,8,115.31
80233.63754,524,8395.20,0.06,1851.13,5,5720.45
90957.94537,2,32.40,0.06,13.04,11,54.84
97672.2991,812,14071.20,0.06,2945.47,5,5591.79
98292.19693,98,1620.00,0.06,1901.52,35,8127.21
9969.623746,1,18.00,0.06,2.63,4,5.46
10644.09722,1711,24984.00,0.07,5153.68,5,12803.25
12912.21779,117,1619.20,0.07,310.98,5,985.19
15199.53512,1,14.00,0.07,6.15,12,27.61
20079.17189,1,14.00,0.07,4.10,8,28.60
23279.88664,207,3013.20,0.07,1305.72,13,140154.28
26840.76943,12,162.80,0.07,52.14,8,149.80
30587.57995,10,136.80,0.07,14.90,2,277.03
336.8691995,1,14.00,0.07,4.10,8,43.09
37034.59859,20,296.40,0.07,23.85,2,262.46
38944.51883,25,374.00,0.07,96.22,6,380.01
39637.39026,24,321.20,0.07,73.11,5,782.74
41997.10601,551,8370.00,0.07,1692.55,5,3253.61
50290.72633,306,4305.00,0.07,2070.14,13,9841.46
50685.29326,16,235.20,0.07,45.41,5,224.08
52640.43787,96,1372.80,0.07,291.55,5,719.83
55607.84764,1,14.40,0.07,1.83,3,47.88
56666.55127,98,1335.00,0.07,279.45,5,3013.06
60478.8553,975,13752.00,0.07,3286.77,6,7079.00
61513.44926,93,1355.00,0.07,323.55,5,2256.84
67689.42493,1435,20683.20,0.07,11031.04,16,32969.82
76090.04432,6,88.20,0.07,8.32,2,89.61
76619.94459,3,41.60,0.07,12.18,8,84.45
82525.33971,321,4467.60,0.07,926.11,5,2539.60
88000.72498,2,28.80,0.07,2.98,2,16.98
97265.62288,1,15.00,0.07,4.39,8,27.19
14220.41262,56,730.40,0.08,300.46,11,541.46
14561.62588,2,25.00,0.08,5.97,5,50.61
18262.6529,4,51.00,0.08,6.16,2,81.15
19294.75574,10,125.00,0.08,73.17,16,123.20
28071.43638,66,844.80,0.08,362.63,12,1758.49
31340.14649,6,74.80,0.08,17.86,5,65.04
31580.12914,234,2915.00,0.08,1329.43,12,3540.96
32713.08559,2,25.00,0.08,5.97,5,27.43
3757.355247,533,6995.00,0.08,3207.24,12,6655.34
4141.507253,1,12.00,0.08,1.64,3,24.43
