sku,inventory_units_on_hand,annual_demand,potential_excess_units,standard_price,potential_excess_value
11682.12204,24168,12768.00,11400.00,8.00,91200.00
23640.38365,9223,72.00,9151.00,7.00,64057.00
39145.01238,8009,936.00,7073.00,8.00,56584.00
839.7189575,6013,187.20,5825.80,5.00,29129.00
79307.86942,827,72.00,755.00,29.00,21895.00
35265.16222,220,163.20,56.80,362.00,20561.60
43887.9304,13155,10303.20,2851.80,7.00,19962.60
16739.76417,2908,2131.20,776.80,25.00,19420.00
83164.98886,8106,5796.00,2310.00,8.00,18480.00
19153.67476,1986,163.20,1822.80,6.00,10936.80
28494.96096,521,48.00,473.00,23.00,10879.00
43587.35979,731,129.60,601.40,16.00,9622.40
46403.87373,1664,878.40,785.60,11.00,8641.60
79836.62189,1706,300.00,1406.00,6.00,8436.00
37485.47982,419,264.00,155.00,53.00,8215.00
12171.83778,1188,201.60,986.40,5.00,4932.00
66981.88731,461,48.00,413.00,10.00,4130.00
18049.7595,618,48.00,570.00,7.00,3990.00
67684.2708,1241,612.00,629.00,5.00,3145.00
27891.95579,497,86.40,410.60,7.00,2874.20
48429.39229,639,163.20,475.80,6.00,2854.80
81307.76995,86,72.00,14.00,199.00,2786.00
90062.38329,466,122.40,343.60,8.00,2748.80
45576.33015,238,72.00,166.00,16.00,2656.00
80260.11575,235,93.60,141.40,17.00,2403.80
54570.82291,301,48.00,253.00,8.00,2024.00
42003.69568,234,48.00,186.00,5.00,930.00
45569.93306,97,72.00,25.00,15.00,375.00
45570.45261,94,36.00,58.00,6.00,348.00
87416.0724,89,72.00,17.00,8.00,136.00
64784.44354,43,36.00,7.00,8.00,56.00
88361.49157,73,72.00,1.00,20.00,20.00
