sku,inventory_units_on_hand,projected_average_monthly_demand,inventory_shortfall_units,standard_price,estimated_shortfall_inventory_value,total_shortfall_inventory_value,percentage_of_total_shortfall_exposure
46174.19704,253,4032.00,3779.00,634.00,2395886.00,36857155.00,6.50
36272.20584,63816,505529.20,441713.20,5.00,2208566.00,36857155.00,5.99
23279.88664,207,3013.20,2806.20,676.00,1896991.20,36857155.00,5.15
59649.09941,74857,265986.00,191129.00,7.00,1337903.00,36857155.00,3.63
54259.55534,58056,234180.00,176124.00,7.00,1232868.00,36857155.00,3.34
16008.34214,9519,44532.40,35013.40,24.00,840321.60,36857155.00,2.28
18382.47986,39924,138059.60,98135.60,7.00,686949.20,36857155.00,1.86
5742.090902,1352,23514.00,22162.00,30.00,664860.00,36857155.00,1.80
61431.51228,76673,173239.20,96566.20,6.00,579397.20,36857155.00,1.57
35617.26411,3336,15668.40,12332.40,45.00,554958.00,36857155.00,1.51
57292.27939,14867,34473.60,19606.60,26.00,509771.60,36857155.00,1.38
14950.11098,17399,73742.40,56343.40,8.00,450747.20,36857155.00,1.22
67689.42493,1435,20683.20,19248.20,23.00,442708.60,36857155.00,1.20
21691.1655,41024,88816.80,47792.80,8.00,382342.40,36857155.00,1.04
11938.60819,2993,15638.40,12645.40,30.00,379362.00,36857155.00,1.03
40586.17221,6510,33390.00,26880.00,14.00,376320.00,36857155.00,1.02
99691.56817,8809,59721.20,50912.20,7.00,356385.40,36857155.00,0.97
28358.53042,14998,65805.00,50807.00,7.00,355649.00,36857155.00,0.96
49404.04188,5868,21485.20,15617.20,22.00,343578.40,36857155.00,0.93
45558.36564,72748,121220.00,48472.00,7.00,339304.00,36857155.00,0.92
88893.99833,2776,23922.80,21146.80,16.00,338348.80,36857155.00,0.92
42076.92509,3399,13192.80,9793.80,33.00,323195.40,36857155.00,0.88
26570.05479,14614,51936.00,37322.00,8.00,298576.00,36857155.00,0.81
69432.77751,12351,53954.40,41603.40,7.00,291223.80,36857155.00,0.79
85525.70369,13658,61347.60,47689.60,6.00,286137.60,36857155.00,0.78
71829.76937,2894,19656.00,16762.00,17.00,284954.00,36857155.00,0.77
26976.03739,7807,27764.00,19957.00,14.00,279398.00,36857155.00,0.76
49628.93981,2961,24098.80,21137.80,13.00,274791.40,36857155.00,0.75
9755.440137,2038,6916.80,4878.80,56.00,273212.80,36857155.00,0.74
28535.78795,5432,14871.60,9439.60,28.00,264308.80,36857155.00,0.72
34924.93689,3247,31926.40,28679.40,9.00,258114.60,36857155.00,0.70
34319.52555,25872,62205.00,36333.00,7.00,254331.00,36857155.00,0.69
99155.5808,3981,52927.60,48946.60,5.00,244733.00,36857155.00,0.66
98395.41806,1418,4240.80,2822.80,81.00,228646.80,36857155.00,0.62
44410.82251,1135,8032.80,6897.80,33.00,227627.40,36857155.00,0.62
43989.70312,20537,40645.00,20108.00,11.00,221188.00,36857155.00,0.60
22916.56386,1858,10479.00,8621.00,25.00,215525.00,36857155.00,0.58
53642.5735,3467,22818.40,19351.40,11.00,212865.40,36857155.00,0.58
67997.98926,12,1840.00,1828.00,114.00,208392.00,36857155.00,0.57
70313.2463,32245,61902.00,29657.00,7.00,207599.00,36857155.00,0.56
94414.55339,2518,19120.00,16602.00,12.00,199224.00,36857155.00,0.54
87484.99284,188038,227268.00,39230.00,5.00,196150.00,36857155.00,0.53
14804.73021,26631,50403.60,23772.60,8.00,190180.80,36857155.00,0.52
47951.68833,1795,8961.00,7166.00,26.00,186316.00,36857155.00,0.51
44607.35256,287,1478.40,1191.40,141.00,167987.40,36857155.00,0.46
10644.09722,1711,24984.00,23273.00,7.00,162911.00,36857155.00,0.44
67332.30068,1096,2875.60,1779.60,91.00,161943.60,36857155.00,0.44
44090.41583,3200,15510.00,12310.00,12.00,147720.00,36857155.00,0.40
18043.66253,18811,39715.20,20904.20,7.00,146329.40,36857155.00,0.40
54977.50853,219,710.40,491.40,291.00,142997.40,36857155.00,0.39
39743.43884,8545,25974.00,17429.00,8.00,139432.00,36857155.00,0.38
56308.83258,13983,33409.60,19426.60,7.00,135986.20,36857155.00,0.37
64992.5687,181895,198536.80,16641.80,8.00,133134.40,36857155.00,0.36
14290.54489,16293,38400.00,22107.00,6.00,132642.00,36857155.00,0.36
