sku,annual_demand,safety_stock,safety_stock_percentage_of_annual_demand,reorder_point,demand_during_lead_time,demand_variability_cov,normalized_cov,lead_time_days,supplier_on_time_delivery
56722.42673,3345465.60,375478.47,11.22,1583563.27,1208084.80,0.6000,0.1513,130,1.0000
87484.99284,2727216.00,77191.73,2.83,652937.33,575745.60,0.3100,0.0653,76,1.0000
64992.5687,2382441.60,74531.38,3.13,511312.34,436780.96,0.3700,0.0831,66,1.0000
77066.7326,1328896.80,66678.28,5.02,347223.16,280544.88,0.4800,0.1157,76,1.0000
45558.36564,1454640.00,47131.62,3.24,313815.62,266684.00,0.3800,0.0861,66,1.0000
28852.23678,502603.20,37061.93,7.37,129205.85,92143.92,0.7500,0.1958,66,1.0000
61431.51228,2078870.40,36951.46,1.78,239063.86,202112.40,0.3900,0.0890,35,0.8200
27746.72473,449452.80,35653.43,7.93,118053.11,82399.68,0.8000,0.2107,66,1.0000
95551.89527,795590.40,32000.07,4.02,177858.31,145858.24,0.4500,0.1068,66,1.0000
93540.85184,580185.60,29366.56,5.06,103501.39,74134.83,0.7400,0.1929,46,0.8500
97858.21251,610848.00,26616.85,4.36,138605.65,111988.80,0.4800,0.1157,66,1.0000
12618.77005,452580.00,23574.25,5.21,251121.41,227547.17,0.2600,0.0504,181,0.8700
31844.01405,277737.60,20433.34,7.36,52064.57,31631.23,1.1500,0.3145,41,0.8000
18382.47986,1656715.20,19295.29,1.16,92927.07,73631.79,0.5200,0.1276,16,1.0000
66249.98903,166140.00,18528.61,11.15,68370.61,49842.00,0.7000,0.1810,108,0.7000
67194.73671,358142.40,18236.79,5.09,111751.75,93514.96,0.4100,0.0950,94,1.0000
40555.53967,255744.00,16858.40,6.59,63744.80,46886.40,0.6800,0.1751,66,1.0000
40922.61774,167299.20,16754.71,10.01,57185.35,40430.64,0.7700,0.2018,87,0.8500
21691.1655,1065801.60,16598.89,1.56,84691.77,68092.88,0.4900,0.1187,23,1.0000
97735.92745,89433.60,16167.63,18.08,61132.85,44965.23,0.6800,0.1751,181,0.8500
