sku,demand_variability_cov,lead_time_days,daily_demand,safety_stock,reorder_point
79438.78059,3.4600,111,10.12,2307.02,3430.34
90062.38329,3.4600,90,0.34,62.84,93.44
12328.15963,3.4600,44,1.21,109.64,163.03
18388.13489,3.4600,26,0.90,48.06,71.46
20175.18474,3.4600,16,15.20,499.47,742.67
6622.805149,3.4600,11,1.16,26.21,38.97
40524.06718,3.4600,11,1.55,34.94,51.95
32876.00356,3.4600,8,30.08,494.21,734.85
37695.82788,3.4600,8,1.04,17.09,25.41
30893.03415,3.4600,8,0.90,14.79,21.99
59069.77943,3.4600,6,1.04,12.82,19.06
37919.04046,2.9700,120,3.70,779.28,1223.28
49745.15509,2.9600,23,2.16,86.89,136.57
41517.17867,2.8300,23,0.50,19.20,30.70
49639.77433,2.7900,8,0.83,10.97,17.64
41576.82015,2.7300,8,0.90,11.58,18.78
68359.31198,2.6600,28,0.47,20.47,33.53
52567.94807,2.6600,27,0.96,40.60,66.52
92010.48054,2.6600,23,0.54,19.45,31.87
31773.45426,2.6600,16,5.52,138.33,226.65
24479.56596,2.6200,2,0.27,0.82,1.36
77704.06654,2.5600,31,0.73,34.22,56.95
14944.90422,2.5400,15,1.04,23.29,38.89
1449.195854,2.5400,15,1.55,34.64,57.84
34854.65502,2.5400,15,1.56,34.94,58.34
