sku,inventory_units_on_hand,reorder_point,reorder_shortfall,supplier_on_time_delivery,demand_variability_cov,lead_time_days,safety_stock,on_hand_stock_value
43989.70312,20537,94732.55,74195.55,0.7000,0.3300,61,12087.72,228825.15
66249.98903,18765,68370.61,49605.61,0.7000,0.7000,108,18528.61,345098.96
92199.42146,24874,72983.40,48109.40,0.7200,0.5200,130,15154.20,315697.37
14290.54489,16293,59193.49,42900.49,0.7200,0.5000,37,11833.49,97913.40
54058.36796,28116,66272.61,38156.61,0.7500,0.3800,56,9953.41,150550.57
59614.48888,20776,46452.86,25676.86,0.7000,0.5700,87,10513.16,198444.79
40586.17221,6510,29967.16,23457.16,0.7000,0.3700,23,4368.16,89260.97
39743.43884,8545,29947.58,21402.58,0.7700,0.2800,31,3107.78,66039.34
83385.07533,7092,26487.33,19395.33,0.7800,0.6400,42,6649.33,74072.66
3168.332644,4688,22230.20,17542.20,0.7700,0.3000,78,2522.20,35422.33
57821.70364,7654,23485.43,15831.43,0.7000,0.4900,58,4602.95,133868.67
38229.3787,6131,20764.50,14633.50,0.7000,0.1900,51,1192.74,47663.80
35617.26411,3336,14355.04,11019.04,0.7000,0.4100,23,2342.60,149293.10
34523.52836,2491,10448.13,7957.13,0.7700,0.5400,23,2248.63,35574.35
62977.65315,4289,12130.46,7841.46,0.7700,0.7100,51,3326.50,24267.20
73327.4254,3343,10763.36,7420.36,0.7000,0.6500,33,2738.64,43192.00
63513.44727,3351,10680.28,7329.28,0.7200,0.1700,23,496.50,27035.06
85993.0033,4845,11800.99,6955.99,0.7700,0.3500,88,1614.11,65624.83
18728.79269,2238,9126.38,6888.38,0.7700,0.4300,61,1566.44,29845.88
71185.22702,2213,8818.83,6605.83,0.7700,0.5000,38,1762.99,46570.63
69248.1887,2398,8720.16,6322.16,0.7700,0.5900,35,2036.56,47340.24
93757.32748,2515,8270.11,5755.11,0.7000,0.2500,28,734.75,35739.57
64934.32412,3311,8734.59,5423.59,0.7500,0.3200,80,1073.79,77217.59
80337.50935,9149,14130.80,4981.80,0.7000,0.9700,73,4932.80,49098.75
36309.32121,1561,5876.63,4315.63,0.7700,0.4400,43,1033.11,13649.47
83637.23189,2954,7088.82,4134.82,0.7700,0.5000,42,1417.14,17809.12
77635.18409,2829,6744.56,3915.56,0.7800,0.3100,30,797.36,25577.93
67486.73281,2778,6494.82,3716.82,0.7700,0.5000,62,1298.39,29003.97
85781.62452,1264,4723.16,3459.16,0.7500,0.4300,66,810.68,160101.66
30805.18253,1203,4470.63,3267.63,0.7700,0.5300,16,945.30,7702.45
7137.726453,1223,4456.82,3233.82,0.7700,0.3300,22,568.68,6440.20
38880.52514,2932,6107.44,3175.44,0.7700,0.3500,33,835.36,19081.23
35915.04203,1496,4616.34,3120.34,0.7000,0.3300,23,589.04,40706.03
23548.24418,2141,5255.28,3114.28,0.7000,0.6200,28,1283.01,36627.48
48074.25459,1888,4994.33,3106.33,0.7500,0.3800,78,750.09,22849.01
82315.40602,1903,4952.35,3049.35,0.7700,0.2200,30,363.55,17484.47
24000.84476,4110,7003.82,2893.82,0.7700,0.5700,53,1585.10,24412.64
80283.87575,1978,4811.02,2833.02,0.7700,0.7600,22,1394.86,18475.15
48698.09401,631,3399.81,2768.81,0.7100,0.2800,33,352.81,14004.20
4569.760124,1595,4356.69,2761.69,0.7000,0.5500,23,953.91,64463.69
72091.99853,1439,4173.24,2734.24,0.7500,0.7300,46,1170.97,10385.72
67332.30068,1096,3645.08,2549.08,0.7700,0.3400,33,481.92,99239.78
62250.83184,5103,7609.49,2506.49,0.7700,0.5100,57,1550.77,201302.14
25890.6082,2231,4663.46,2432.46,0.7500,0.9200,16,1566.50,13447.73
53960.60565,1065,3491.75,2426.75,0.7700,0.7300,16,979.75,7160.41
90793.93472,1706,4124.00,2418.00,0.7700,0.4300,33,707.84,53500.03
12583.73606,1171,3555.23,2384.23,0.7700,0.8500,61,1125.40,7371.87
97523.24943,694,2986.46,2292.46,0.7700,0.2900,33,324.46,5661.37
72167.89241,981,3255.67,2274.67,0.7700,0.2700,26,321.83,19655.70
280.7880631,1107,3234.87,2127.87,0.7700,0.3600,34,457.07,12543.43
87697.91586,926,2905.40,1979.40,0.7700,0.7500,16,833.40,5203.16
3243.390147,1442,3420.23,1978.23,0.7700,0.4100,52,558.15,27187.20
41041.53084,712,2649.83,1937.83,0.7700,0.5800,21,609.33,5556.83
70689.35104,2513,4394.51,1881.51,0.7700,0.5500,62,962.19,15733.68
2465.773782,1864,3696.28,1832.28,0.7000,0.8400,28,1159.48,29441.28
55870.75261,6500,8289.29,1789.29,0.7700,1.2800,66,3484.49,61222.90
70466.39833,803,2469.02,1666.02,0.7700,0.6200,32,602.78,68393.33
58137.15511,948,2609.88,1661.88,0.7500,0.4800,27,501.18,21980.24
86600.20453,1368,2967.32,1599.32,0.7700,0.7100,16,813.72,17410.16
9755.440137,2038,3618.07,1580.07,0.7800,0.7900,11,1081.91,113320.11
82197.08445,1018,2588.58,1570.58,0.7700,1.0700,26,967.92,9914.22
23852.51996,1777,3309.00,1532.00,0.7700,1.4600,26,1505.64,28600.69
93176.32465,563,2041.63,1478.63,0.7700,0.7500,16,585.63,10480.79
62360.0844,703,2177.34,1474.34,0.7700,0.8000,11,657.58,14047.64
70191.94028,655,2127.49,1472.49,0.7700,0.7900,31,636.18,39154.35
68144.5966,1076,2544.81,1468.81,0.7700,0.5600,21,566.61,10832.09
915.1744482,431,1845.74,1414.74,0.7600,0.2300,12,145.10,7028.54
19439.60814,952,2366.28,1414.28,0.7000,0.6800,21,625.80,56004.29
62012.31696,842,2209.10,1367.10,0.7700,0.5800,16,507.98,5865.22
3551.005172,1012,2375.28,1363.28,0.7700,0.7300,16,666.48,6585.50
28.25267997,477,1820.47,1343.47,0.7500,0.3700,23,265.36,3574.45
98586.72215,1668,2981.92,1313.92,0.7700,1.5000,33,1378.12,15805.41
52376.6073,641,1932.13,1291.13,0.7600,0.8900,27,633.25,29380.12
62587.99301,586,1832.28,1246.28,0.7000,0.6600,76,472.39,6168.30
67794.64548,2986,4213.46,1227.46,0.7100,1.5800,130,2005.19,77743.50
68005.84706,721,1913.13,1192.13,0.7700,0.5500,11,418.89,4771.89
88372.4601,1108,2288.81,1180.81,0.7700,1.1200,21,882.65,12859.21
88579.59732,603,1777.08,1174.08,0.7700,0.2500,11,157.88,4332.75
17244.61854,604,1730.82,1126.82,0.7700,0.7500,16,496.48,4167.02
50753.1553,771,1870.72,1099.72,0.7000,1.1900,23,750.77,8967.40
23279.88664,207,1305.72,1098.72,0.7700,0.0900,13,0.00,140154.28
96233.84203,717,1756.75,1039.75,0.7000,0.7100,25,481.75,6841.04
21539.09202,804,1813.31,1009.31,0.7700,0.4900,17,355.39,24582.04
11660.51327,1249,2244.29,995.29,0.7700,0.7000,51,608.21,21819.60
32538.50344,1709,2683.76,974.76,0.7700,0.4200,35,449.36,33735.15
41079.60145,459,1391.95,932.95,0.7000,0.4100,60,227.15,12013.09
42177.39672,824,1748.52,924.52,0.7700,0.2900,17,189.96,19900.82
848.0809453,730,1616.82,886.82,0.7700,1.3000,27,686.22,4235.90
4640.63071,1070,1929.54,859.54,0.7700,0.6600,27,497.46,13945.27
58114.46097,956,1813.31,857.31,0.7700,0.4900,17,355.39,7036.66
51528.00533,858,1714.25,856.25,0.7700,0.3900,28,264.97,5467.02
8198.375067,2753,3607.70,854.70,0.7700,0.5000,38,721.22,14758.43
