supplier_name,location,s_otd,credit_rating,data_security,single_source,ip_protection,labor_unrests,environmental_incidents,binary_risk_indicator_count
RealGlass,China,0.82,1,10,1,1,1,1,3
Plaxian,US,0.91,3,9,1,0,1,0,3
BestOGlass,US,0.78,2,10,1,0,0,0,2
Shale,"Saudi Arabia",0.86,3,8,0,0,0,1,2
Boavidro,Brazil,0.63,3,8,0,0,0,0,1
PharmyLeaf,India,0.79,2,8,0,0,0,0,1
GutesGlas,Germany,0.85,3,8,0,0,0,0,1
basicPharm,US,0.88,5,7,1,1,0,0,1
Optikiet,China,0.88,4,7,1,1,0,0,1
Saanch,India,0.90,2,9,0,0,0,0,1
Opticful,Italy,0.92,3,5,0,0,0,0,1
MedicMetric,Philippines,0.94,4,7,1,1,0,0,1
