production_unit,weekends_holidays_days,planned_shutdown_days,unplanned_shutdown_days,total_non_operating_days,downtime_quartile,downtime_priority
"Forming #2",115,10,25,150,4,"High Priority"
"Packing #3",115,10,25,150,4,"High Priority"
"Washing #3",115,10,20,145,4,"High Priority"
"Packing #6",115,10,20,145,3,"Moderate Priority"
"Tubing #2",115,10,20,145,3,"Moderate Priority"
"Washing #2",115,10,20,145,3,"Moderate Priority"
"Packing #1",115,10,20,145,2,"Standard Monitoring"
"Packing #2",115,10,20,145,2,"Standard Monitoring"
"Packing #5",115,10,20,145,2,"Standard Monitoring"
"Washing #4",115,10,15,140,2,"Standard Monitoring"
"Forming #1",115,10,15,140,1,"Standard Monitoring"
"Packing #4",115,10,15,140,1,"Standard Monitoring"
"Tubing #1",115,10,15,140,1,"Standard Monitoring"
"Washing #1",115,10,15,140,1,"Standard Monitoring"
