sku ,standard_price,on_hand_stock_value,inventory_units_on_hand,average_monthly_usage,october_demand,november_demand,december_demand,january_demand,february_demand,march_demand,april_demand,may_demand,june_demand,july_demand,august_demand,september_demand,annual_demand,average_monthly_usage_trend,supplier_on_time_delivery,demand_variability_cov,lead_time_days
14171.73212,34,5837.312718,173,122,109.8,109.8,109.8,109.8,109.8,109.8,109.8,109.8,109.8,109.8,109.8,109.8,1317.6,-0.1,0.77,1.56,23
52169.04283,12,1532.719476,127,178,213.6,213.6,213.6,213.6,213.6,213.6,213.6,213.6,213.6,213.6,213.6,213.6,2563.2,0.2,0.85,1.8,12
72156.25745,12,4562.334137,388,324,194.4,194.4,194.4,194.4,194.4,194.4,194.4,194.4,194.4,194.4,194.4,194.4,2332.8,-0.4,0.77,1.38,21
8954.076984,8,4156.895262,510,414,621,621,621,621,621,621,621,621,621,621,621,621,7452,0.5,0.7,1.99,15
94785.8318,5,587.5857636,112,170,374,374,374,374,374,374,374,374,374,374,374,374,4488,1.2,0.8,0.92,15
7857.752319,9,233.1691719,25,42,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,403.2,-0.2,0.83,1.17,12
23921.16203,37,239.1606363,7,10,6,6,6,6,6,6,6,6,6,6,6,6,72,-0.4,0.73,1,16
20838.15682,14,328.7585973,23,18,27,27,27,27,27,27,27,27,27,27,27,27,324,0.5,0.77,1.34,23
28119.91436,7,1169.931205,166,162,243,243,243,243,243,243,243,243,243,243,243,243,2916,0.5,0.77,0.9,21
39145.01238,8,64000,8009,130,78,78,78,78,78,78,78,78,78,78,78,78,936,-0.4,0.8,0.98,12
36916.6025,98,1041.115722,11,10,16,16,16,16,16,16,16,16,16,16,16,16,192,0.6,0.77,1.43,16
20167.09523,18,549.9200596,31,26,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,686.4,1.2,0.81,1.28,23
13825.92566,21,222.3193413,11,18,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,388.8,0.8,0.77,1.32,11
35393.00406,8,1758.931944,232,122,146.4,146.4,146.4,146.4,146.4,146.4,146.4,146.4,146.4,146.4,146.4,146.4,1756.8,0.2,0.77,1.8,31
64602.92922,7,1636.063717,230,122,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,1171.2,-0.2,0.77,1.78,31
78437.89751,17,3409.984038,205,74,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,799.2,-0.1,0.77,1.1,61
49840.64111,37,272.3558071,7,10,22,22,22,22,22,22,22,22,22,22,22,22,264,1.2,0.77,1.43,13
11673.86812,34,331.526846,10,10,9,9,9,9,9,9,9,9,9,9,9,9,108,-0.1,0.8,1.15,21
67407.81987,28,214.0130001,8,10,6,6,6,6,6,6,6,6,6,6,6,6,72,-0.4,0.77,1.58,12
45569.93306,15,1500,97,10,6,6,6,6,6,6,6,6,6,6,6,6,72,-0.4,0.77,1.54,16
46546.61843,9,59.1793335,6,10,22,22,22,22,22,22,22,22,22,22,22,22,264,1.2,0.77,1.23,12
16996.04226,18,602.7456751,34,10,8,8,8,8,8,8,8,8,8,8,8,8,96,-0.2,0.77,1,81
