SKU ,Std. Price ($),On-Hand Stock ($),Inventory in units on-hand,"APU
(units)",Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,June,July,August,September,Demand for the whole year,APU Trend,S-OTD,Demand variability (COV),Lead Time (days)
14172, 34 ,5837.312718, 173 ,122,109.8,109.8,109.8,109.8,109.8,109.8,109.8,109.8,109.8,109.8,109.8,109.8,1317.6,-0.10,0.77,1.56,23
52169, 12 ,1532.719476, 127 ,178,213.6,213.6,213.6,213.6,213.6,213.6,213.6,213.6,213.6,213.6,213.6,213.6,2563.2,0.20,0.85,1.8,12
72156, 12 ,4562.334137, 388 ,324,194.4,194.4,194.4,194.4,194.4,194.4,194.4,194.4,194.4,194.4,194.4,194.4,2332.8,-0.40,0.77,1.38,21
8954, 8 ,4156.895262, 510 ,414,621,621,621,621,621,621,621,621,621,621,621,621,7452.0,0.50,0.7,1.99,15
94786, 5 ,587.5857636, 112 ,170,374,374,374,374,374,374,374,374,374,374,374,374,4488.0,1.20,0.8,0.92,15
7858, 9 ,233.1691719, 25 ,42,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,403.2,-0.20,0.83,1.17,12
23921, 37 ,239.1606363, 7 ,10,6,6,6,6,6,6,6,6,6,6,6,6,72.0,-0.40,0.73,1,16
20838, 14 ,328.7585973, 23 ,18,27,27,27,27,27,27,27,27,27,27,27,27,324.0,0.50,0.77,1.34,23
28120, 7 ,1169.931205, 166 ,162,243,243,243,243,243,243,243,243,243,243,243,243,2916.0,0.50,0.77,0.9,21
39145, 8 ,64000," 8,009 ",130,78,78,78,78,78,78,78,78,78,78,78,78,936.0,-0.40,0.8,0.98,12
36917, 98 ,1041.115722, 11 ,10,16,16,16,16,16,16,16,16,16,16,16,16,192.0,0.60,0.77,1.43,16
20167, 18 ,549.9200596, 31 ,26,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,686.4,1.20,0.81,1.28,23
13826, 21 ,222.3193413, 11 ,18,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,388.8,0.80,0.77,1.32,11
35393, 8 ,1758.931944, 232 ,122,146.4,146.4,146.4,146.4,146.4,146.4,146.4,146.4,146.4,146.4,146.4,146.4,1756.8,0.20,0.77,1.8,31
64603, 7 ,1636.063717, 230 ,122,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,1171.2,-0.20,0.77,1.78,31
78438, 17 ,3409.984038, 205 ,74,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,799.2,-0.10,0.77,1.1,61
49841, 37 ,272.3558071, 7 ,10,22,22,22,22,22,22,22,22,22,22,22,22,264.0,1.20,0.77,1.43,13
11674, 34 ,331.526846, 10 ,10,9,9,9,9,9,9,9,9,9,9,9,9,108.0,-0.10,0.8,1.15,21
67408, 28 ,214.0130001, 8 ,10,6,6,6,6,6,6,6,6,6,6,6,6,72.0,-0.40,0.77,1.58,12
45570, 15 ,1500, 97 ,10,6,6,6,6,6,6,6,6,6,6,6,6,72.0,-0.40,0.77,1.54,16
46547, 9 ,59.1793335, 6 ,10,22,22,22,22,22,22,22,22,22,22,22,22,264.0,1.20,0.77,1.23,12
16996, 18 ,602.7456751, 34 ,10,8,8,8,8,8,8,8,8,8,8,8,8,96.0,-0.20,0.77,1,81
89385, 20 ,260.684347, 13 ,10,15,15,15,15,15,15,15,15,15,15,15,15,180.0,0.50,0.77,1.54,21
94095, 22 ,337.4743, 16 ,10,8,8,8,8,8,8,8,8,8,8,8,8,96.0,-0.20,0.77,2.48,16
53823, 7 ,90.01427367, 13 ,10,22,22,22,22,22,22,22,22,22,22,22,22,264.0,1.20,0.77,1.91,16
46061, 10 ,482.5815349, 49 ,18,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,302.4,0.40,0.77,1.02,62
41214, 13 ,1022.23822, 79 ,10,22,22,22,22,22,22,22,22,22,22,22,22,264.0,1.20,0.77,1.33,176
77704, 19 ,603.6462312, 31 ,10,22,22,22,22,22,22,22,22,22,22,22,22,264.0,1.20,0.77,2.56,31
21835, 46 ,1276.578824, 28 ,10,25,25,25,25,25,25,25,25,25,25,25,25,300.0,1.50,0.77,1.04,81
52607, 6 ,135.6377652, 22 ,10,6,6,6,6,6,6,6,6,6,6,6,6,72.0,-0.40,0.77,2.27,23
70964, 12 ,833.3433844, 69 ,18,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,259.2,0.20,0.77,1.28,61
57014, 24 ,97.3573643, 4 ,10,16,16,16,16,16,16,16,16,16,16,16,16,192.0,0.60,0.77,0.89,11
42854, 12 ,381.0198468, 32 ,10,16,16,16,16,16,16,16,16,16,16,16,16,192.0,0.60,0.77,0.92,81
55647, 22 ,587.770337, 27 ,10,14,14,14,14,14,14,14,14,14,14,14,14,168.0,0.40,0.77,1.06,62
72010, 23 ,273.761217, 12 ,10,14,14,14,14,14,14,14,14,14,14,14,14,168.0,0.40,0.75,1.41,21
12951, 7 ,239.144553, 34 ,10,16,16,16,16,16,16,16,16,16,16,16,16,192.0,0.60,0.77,1.99,41
12392, 13 ,212.741188, 16 ,18,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,345.6,0.60,0.77,0.99,21
28495, 23 ,12240, 521 ,10,4,4,4,4,4,4,4,4,4,4,4,4,48.0,-0.60,0.77,1.47,21
13316, 26 ,105.8831558, 4 ,10,12,12,12,12,12,12,12,12,12,12,12,12,144.0,0.20,0.77,0.91,11
9716, 21 ,74.40288946, 4 ,10,9,9,9,9,9,9,9,9,9,9,9,9,108.0,-0.10,0.75,0.75,11
92173, 15 ,1095.497066, 74 ,42,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,453.6,-0.10,0.77,0.78,44
48429, 6 ,3800, 639 ,34,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,163.2,-0.60,0.77,0.86,82
67145, 19 ,194.0267374, 10 ,10,25,25,25,25,25,25,25,25,25,25,25,25,300.0,1.50,0.77,0.78,31
22941, 26 ,979.4099311, 38 ,10,15,15,15,15,15,15,15,15,15,15,15,15,180.0,0.50,0.77,1.28,62
91259, 15 ,862.5582173, 58 ,18,27,27,27,27,27,27,27,27,27,27,27,27,324.0,0.50,0.77,1.06,62
84274, 8 ,215.6972365, 26 ,18,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,388.8,0.80,1,1.68,21
75298, 11 ,742.3609324, 68 ,18,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,172.8,-0.20,1,1.95,41
33973, 50 ,1146.012963, 23 ,10,6,6,6,6,6,6,6,6,6,6,6,6,72.0,-0.40,1,1,71
66346, 8 ,214.6201346, 26 ,18,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,388.8,0.80,1,0.8,41
44321, 6 ,186.4623035, 32 ,18,45,45,45,45,45,45,45,45,45,45,45,45,540.0,1.50,1,0.94,41
5368, 5 ,34.37362323, 7 ,10,15,15,15,15,15,15,15,15,15,15,15,15,180.0,0.50,1,0.87,16
9503, 6 ,162.8038144, 27 ,26,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,686.4,1.20,1,1.01,23
10036, 7 ,780, 107 ,34,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,122.4,-0.70,0.75,0.73,61
30899, 95 ,419.5832239, 4 ,10,14,14,14,14,14,14,14,14,14,14,14,14,168.0,0.40,1,1.04,11
64784, 8 ,350, 43 ,10,3,3,3,3,3,3,3,3,3,3,3,3,36.0,-0.70,0.81,0.8,11
40510, 5 ,81.04074028, 16 ,10,22,22,22,22,22,22,22,22,22,22,22,22,264.0,1.20,1,0.82,41
66764, 5 ,152.7010385, 28 ,18,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,475.2,1.20,1,0.8,41
79837, 6 ,11000," 1,706 ",10,25,25,25,25,25,25,25,25,25,25,25,25,300.0,1.50,0.85,1.6,176
42004, 5 ,1250, 234 ,10,4,4,4,4,4,4,4,4,4,4,4,4,48.0,-0.60,1,0.86,61
32369, 10 ,137.4650204, 14 ,10,12,12,12,12,12,12,12,12,12,12,12,12,144.0,0.20,1,1.65,21
54571, 8 ,2450, 301 ,10,4,4,4,4,4,4,4,4,4,4,4,4,48.0,-0.60,0.81,1.04,66
87416, 8 ,680, 89 ,10,6,6,6,6,6,6,6,6,6,6,6,6,72.0,-0.40,1,1.95,11
35551, 11 ,480.4743792, 42 ,18,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,172.8,-0.20,1,1.95,30
58772, 13 ,69.19655427, 5 ,10,18,18,18,18,18,18,18,18,18,18,18,18,216.0,0.80,1,1.2,11
7437, 6 ,242.3158495, 38 ,10,25,25,25,25,25,25,25,25,25,25,25,25,300.0,1.50,0.88,1.45,61
42197, 5 ,115.54666, 21 ,10,25,25,25,25,25,25,25,25,25,25,25,25,300.0,1.50,0.75,1.72,29
65906, 5 ,57.04994075, 10 ,10,14,14,14,14,14,14,14,14,14,14,14,14,168.0,0.40,0.77,1.5,16
36205, 30 ,1016.430173, 34 ,58,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,417.6,-0.40,0.77,1.12,11
92629, 10 ,1266.949871, 129 ,268,107.2,107.2,107.2,107.2,107.2,107.2,107.2,107.2,107.2,107.2,107.2,107.2,1286.4,-0.60,0.77,0.82,16
14401, 8 ,458.5571843, 57 ,138,303.6,303.6,303.6,303.6,303.6,303.6,303.6,303.6,303.6,303.6,303.6,303.6,3643.2,1.20,0.77,0.82,11
20419, 41 ,1492.006204, 36 ,18,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,129.6,-0.40,0.77,2.11,30
69313, 9 ,4627.271478, 509 ,82,49.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2,590.4,-0.40,0.77,1.61,93
98330, 14 ,1237.264484, 86 ,42,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,1108.8,1.20,0.77,0.97,61
76231, 20 ,452.3846667, 23 ,26,39,39,39,39,39,39,39,39,39,39,39,39,468.0,0.50,0.77,2,11
81538, 8 ,404.2961922, 50 ,130,182,182,182,182,182,182,182,182,182,182,182,182,2184.0,0.40,0.77,0.75,11
848, 6 ,4235.90166, 730 ,470,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,12408.0,1.20,0.77,1.3,27
5870, 26 ,239.5719093, 9 ,18,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,302.4,0.40,0.77,1.17,11
57416, 10 ,1261.586566, 128 ,340,204,204,204,204,204,204,204,204,204,204,204,204,2448.0,-0.40,0.77,0.96,11
8393, 6 ,224.5114345, 38 ,42,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,1108.8,1.20,0.77,1.28,16
84102, 26 ,260.5684671, 10 ,18,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,475.2,1.20,0.77,1.28,11
53779, 9 ,268.7303816, 31 ,26,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,374.4,0.20,0.77,1.28,22
82833, 5 ,278.5672067, 53 ,10,15,15,15,15,15,15,15,15,15,15,15,15,180.0,0.50,0.77,1.15,101
98378, 7 ,122.911652, 17 ,42,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,1108.8,1.20,0.77,0.79,11
58079, 19 ,299.6878056, 16 ,10,6,6,6,6,6,6,6,6,6,6,6,6,72.0,-0.40,0.77,0.72,51
20515, 5 ,61.11626852, 11 ,18,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,302.4,0.40,0.77,0.8,16
21977, 5 ,52.09509605, 10 ,18,45,45,45,45,45,45,45,45,45,45,45,45,540.0,1.50,0.77,1.04,11
23640, 7 ,62000," 9,223 ",10,6,6,6,6,6,6,6,6,6,6,6,6,72.0,-0.40,0.77,0.97,21
61599, 6 ,45.39892881, 7 ,18,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,388.8,0.80,0.77,0.77,11
